MutationType	CNV48A
0:homdel:0-100kb	0.00000345
0:homdel:100kb-1Mb	0.00000345
0:homdel:>1Mb	0.00000345
1:LOH:0-100kb	0.03654794
1:LOH:100kb-1Mb	0.00000345
1:LOH:1Mb-10Mb	0.06802574
1:LOH:10Mb-40Mb	0.10615822
1:LOH:>40Mb	0.10415853
2:LOH:0-100kb	0.00000345
2:LOH:100kb-1Mb	0.00000345
2:LOH:1Mb-10Mb	0.00000345
2:LOH:10Mb-40Mb	0.00000345
2:LOH:>40Mb	0.00000345
3-4:LOH:0-100kb	0.00000345
3-4:LOH:100kb-1Mb	0.00000345
3-4:LOH:1Mb-10Mb	0.00000345
3-4:LOH:10Mb-40Mb	0.00000345
3-4:LOH:>40Mb	0.00000345
5-8:LOH:0-100kb	0.00000345
5-8:LOH:100kb-1Mb	0.00000345
5-8:LOH:1Mb-10Mb	0.00000345
5-8:LOH:10Mb-40Mb	0.00000345
5-8:LOH:>40Mb	0.00000345
9+:LOH:0-100kb	0.00000345
9+:LOH:100kb-1Mb	0.00000345
9+:LOH:1Mb-10Mb	0.00000345
9+:LOH:10Mb-40Mb	0.00000345
9+:LOH:>40Mb	0.00000345
2:het:0-100kb	0.00000345
2:het:100kb-1Mb	0.00000345
2:het:1Mb-10Mb	0.00000345
2:het:10Mb-40Mb	0.24041581
2:het:>40Mb	0.10519283
3-4:het:0-100kb	0.03468626
3-4:het:100kb-1Mb	0.00000345
3-4:het:1Mb-10Mb	0.10136580
3-4:het:10Mb-40Mb	0.06878426
3-4:het:>40Mb	0.13453359
5-8:het:0-100kb	0.00000345
5-8:het:100kb-1Mb	0.00000345
5-8:het:1Mb-10Mb	0.00000345
5-8:het:10Mb-40Mb	0.00000345
5-8:het:>40Mb	0.00000345
9+:het:0-100kb	0.00000345
9+:het:100kb-1Mb	0.00000345
9+:het:1Mb-10Mb	0.00000345
9+:het:10Mb-40Mb	0.00000345
9+:het:>40Mb	0.00000345
