MutationType	CNV48A
0:homdel:0-100kb	0.00000357
0:homdel:100kb-1Mb	0.00000357
0:homdel:>1Mb	0.00000357
1:LOH:0-100kb	0.10780628
1:LOH:100kb-1Mb	0.00000357
1:LOH:1Mb-10Mb	0.00000357
1:LOH:10Mb-40Mb	0.06931209
1:LOH:>40Mb	0.10519948
2:LOH:0-100kb	0.00000357
2:LOH:100kb-1Mb	0.00000357
2:LOH:1Mb-10Mb	0.00000357
2:LOH:10Mb-40Mb	0.00000357
2:LOH:>40Mb	0.00000357
3-4:LOH:0-100kb	0.00000357
3-4:LOH:100kb-1Mb	0.00000357
3-4:LOH:1Mb-10Mb	0.00000357
3-4:LOH:10Mb-40Mb	0.00000357
3-4:LOH:>40Mb	0.00000357
5-8:LOH:0-100kb	0.00000357
5-8:LOH:100kb-1Mb	0.00000357
5-8:LOH:1Mb-10Mb	0.00000357
5-8:LOH:10Mb-40Mb	0.00000357
5-8:LOH:>40Mb	0.00000357
9+:LOH:0-100kb	0.00000357
9+:LOH:100kb-1Mb	0.00000357
9+:LOH:1Mb-10Mb	0.00000357
9+:LOH:10Mb-40Mb	0.00000357
9+:LOH:>40Mb	0.00000357
2:het:0-100kb	0.00000357
2:het:100kb-1Mb	0.00000357
2:het:1Mb-10Mb	0.10344980
2:het:10Mb-40Mb	0.18065297
2:het:>40Mb	0.10755632
3-4:het:0-100kb	0.00000357
3-4:het:100kb-1Mb	0.00000357
3-4:het:1Mb-10Mb	0.03631757
3-4:het:10Mb-40Mb	0.14237274
3-4:het:>40Mb	0.14719348
5-8:het:0-100kb	0.00000357
5-8:het:100kb-1Mb	0.00000357
5-8:het:1Mb-10Mb	0.00000357
5-8:het:10Mb-40Mb	0.00000357
5-8:het:>40Mb	0.00000357
9+:het:0-100kb	0.00000357
9+:het:100kb-1Mb	0.00000357
9+:het:1Mb-10Mb	0.00000357
9+:het:10Mb-40Mb	0.00000357
9+:het:>40Mb	0.00000357
